[test_data/solomon/c101.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1511.75
[INFO] Cost func = 1511.75
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;5;15;15;105;15.1327;15.1327
0;0;3;106;106;196;1;16.1245
0;0;7;198;198;288;2;16
0;0;8;290;290;380;2.82843;18.1108
0;0;10;383;383;473;3.60555;16.763
0;0;11;476;476;566;3;19.6469
0;0;9;569;569;659;3.16228;20.0998
0;0;6;661;661;751;2.23607;19
0;0;4;753;753;843;2.23607;18.1108
0;0;2;846;846;936;3.60555;20.6155
0;0;1;938;938;1028;2;18.6815
0;0;75;1031;1031;1121;3;15.8114
1;2;43;16;16;106;16.5529;16.5529
1;2;42;109;109;199;3;19.3132
1;2;41;201;201;291;2;18.6815
1;2;40;293;293;383;2;20.6155
1;2;44;386;386;476;3;21.5407
1;2;46;478;478;568;2.82843;20.5913
1;2;45;570;570;660;2;22.3607
1;2;48;662;662;752;2;23.3238
1;2;51;755;755;845;3;25
1;2;50;847;847;937;2.23607;22.8035
1;2;52;940;940;1030;3.16228;21.2132
1;2;49;1033;1033;1123;3;19.2094
1;2;47;1125;1125;1215;2;18.0278
2;3;67;12;12;102;12.2066;12.2066
2;3;65;103;103;193;1;12.8063
2;3;63;195;195;285;2;14.1421
2;3;62;290;290;380;5;18.0278
2;3;74;383;383;473;3;19.8494
2;3;72;478;478;568;5;23.8537
2;3;61;571;571;661;3;22.3607
2;3;64;663;663;753;2;21.5407
2;3;68;756;756;846;3;20.6155
2;3;66;851;851;941;5.38516;16.5529
2;3;69;943;943;1033;2;15.8114
3;4;20;10;10;100;10;10
3;4;24;105;105;195;5;15
3;4;25;197;197;287;2;15.1327
3;4;27;289;289;379;2;17.1172
3;4;29;382;382;472;3.60555;20
3;4;30;477;477;567;5;20.6155
3;4;28;570;570;660;3;17.7201
3;4;26;662;662;752;2;15.8114
3;4;23;755;755;845;3;13
3;4;22;848;848;938;3;12.1655
3;4;21;940;940;1030;2;10.198
4;6;13;30;30;120;30.8058;30.8058
4;6;17;124;124;214;4;33.3017
4;6;18;217;217;307;3;35.3553
4;6;19;312;312;402;5;39.0513
4;6;15;407;407;497;5;36.0555
4;6;16;502;502;592;5;40.3113
4;6;14;594;594;684;2;39.3573
4;6;12;687;687;777;3;38.0789
5;8;32;31;31;121;31.6228;31.6228
5;8;33;123;123;213;2;33.5261
5;8;31;218;218;308;5.38516;33.541
5;8;35;313;313;403;5;38.0789
5;8;37;408;408;498;5.83095;39.2938
5;8;38;500;500;590;2;41.2311
5;8;39;595;595;685;5;40.3113
5;8;36;690;690;780;5;35.3553
5;8;34;783;783;873;3;32.3883
6;14;90;20;20;110;20.6155;20.6155
6;14;87;115;115;205;5;25.4951
6;14;86;206;206;296;1;26.4764
6;14;83;302;302;392;6;32.3883
6;14;82;395;395;485;3;35.3553
6;14;84;490;490;580;5.83095;31.0483
6;14;85;582;582;672;2.82843;29.7321
6;14;88;675;675;765;3;26.9258
6;14;89;767;767;857;2.82843;24.3516
6;14;91;860;860;950;3.60555;22.3607
7;15;98;30;30;120;30.8058;30.8058
7;15;96;125;125;215;5.38516;36.0555
7;15;95;217;217;307;2;37.2022
7;15;94;310;310;400;3.60555;40.6079
